year,points,country
1821,86,Italy    
1827,94,Spain    
1840,92,US       
1845,88,Italy    
1847,92,Spain    
1848,91,Israel   
1850,91,US       
1852,91,US       
1856,87,US       
1860,91,Italy    
1868,92,Italy    
1870,87,Italy    
1870,85,South Afr
1872,87,Spain    
1875,88,Italy    
1877,90,Italy    
1882,87,Georgia  
1882,87,Spain    
1887,84,Spain    
1898,92,Italy    
1898,89,Spain    
1904,91,France   
1912,94,Portugal 
1919,88,Spain    
1927,96,Spain    
1929,87,Italy    
1934,93,Portugal 
1935,94,Portugal 
1941,93,Portugal 
1945,95,France   
1947,93,Spain    
1952,96,Portugal 
1957,95,Portugal 
1961,95,Portugal 
1963,96,Portugal 
1964,95,Portugal 
1965,94,Portugal 
1966,95,Portugal 
1967,94,Portugal 
1968,95,Portugal 
1969,98,Portugal 
1973,96,Portugal 
1974,93,Portugal 
1976,88,Germany  
1978,94,Portugal 
1978,83,Spain    
1980,95,Portugal 
1982,95,France   
1983,89,Austria  
1983,92,Portugal 
1984,95,Portugal 
1985,96,France   
1985,89,Spain    
1985,86,US       
1986,94,Portugal 
1986,92,Spain    
1986,86,US       
1987,95,Portugal 
1987,89,US       
1988,88,Austria  
1988,93,France   
1989,91,France   
1989,93,Germany  
1989,93,Portugal 
1989,86,US       
1990,94,France   
1990,88,US       
1991,83,Italy    
1991,93,US       
1992,92,Austria  
1992,96,France   
1992,90,Italy    
1992,92,Portugal 
1992,92,US       
1993,84,Australia
1993,93,US       
1994,85,Chile    
1994,92,France   
1994,90,Germany  
1994,93,Italy    
1994,88,Spain    
1994,90,US       
1995,95,France   
1995,90,Germany  
1995,100,Italy    
1995,93,Portugal 
1995,87,South Afr
1995,92,Spain    
1995,90,US       
1996,96,Australia
1996,97,France   
1996,91,Hungary  
1996,80,Israel   
1996,92,Italy    
1996,88,Mexico   
1996,91,Portugal 
1996,87,South Afr
1996,91,Spain    
1996,95,US       
1997,90,Australia
1997,89,Canada   
1997,92,Chile    
1997,93,France   
1997,99,Italy    
1997,94,Portugal 
1997,87,South Afr
1997,89,Spain    
1997,97,US       
1998,95,Australia
1998,88,Austria  
1998,90,Canada   
1998,93,Chile    
1998,96,France   
1998,84,Israel   
1998,95,Italy    
1998,92,New Zeala
1998,93,Portugal 
1998,94,South Afr
1998,94,Spain    
1998,96,US       
1999,80,Argentina
1999,93,Australia
1999,90,Austria  
1999,91,Canada   
1999,91,Chile    
1999,98,France   
1999,92,Germany  
1999,94,Hungary  
1999,83,Israel   
1999,96,Italy    
1999,85,Lebanon  
1999,83,Mexico   
1999,90,New Zeala
1999,91,Portugal 
1999,91,South Afr
1999,97,Spain    
1999,97,US       
2000,89,Argentina
2000,93,Australia
2000,91,Austria  
2000,91,Chile    
2000,89,Cyprus   
2000,95,France   
2000,92,Hungary  
2000,94,Italy    
2000,91,Lebanon  
2000,84,Mexico   
2000,91,New Zeala
2000,94,Portugal 
2000,85,Romania  
2000,92,South Afr
2000,92,Spain    
2000,95,US       
2001,84,Argentina
2001,94,Australia
2001,93,Austria  
2001,91,Chile    
2001,96,France   
2001,93,Germany  
2001,88,Greece   
2001,85,Hungary  
2001,96,Italy    
2001,83,Lebanon  
2001,84,Mexico   
2001,83,Moldova  
2001,91,New Zeala
2001,98,Portugal 
2001,86,Romania  
2001,91,South Afr
2001,93,Spain    
2001,95,US       
2002,89,Argentina
2002,93,Australia
2002,92,Austria  
2002,83,Brazil   
2002,89,Canada   
2002,89,Chile    
2002,100,France   
2002,93,Hungary  
2002,89,Israel   
2002,93,Italy    
2002,83,Lebanon  
2002,92,New Zeala
2002,95,Portugal 
2002,88,Romania  
2002,90,South Afr
2002,91,Spain    
2002,95,US       
2003,93,Argentina
2003,93,Australia
2003,91,Austria  
2003,90,Canada   
2003,92,Chile    
2003,95,France   
2003,90,Germany  
2003,88,Greece   
2003,94,Hungary  
2003,90,Israel   
2003,96,Italy    
2003,87,Lebanon  
2003,94,Portugal 
2003,91,South Afr
2003,92,Spain    
2003,98,US       
2004,93,Argentina
2004,96,Australia
2004,92,Austria  
2004,82,Brazil   
2004,87,Canada   
2004,93,Chile    
2004,85,Cyprus   
2004,98,France   
2004,95,Germany  
2004,89,Greece   
2004,86,Hungary  
2004,88,Israel   
2004,99,Italy    
2004,88,Lebanon  
2004,83,Moldova  
2004,91,New Zeala
2004,99,Portugal 
2004,86,Romania  
2004,91,Slovenia 
2004,94,South Afr
2004,96,Spain    
2004,83,Switzerla
2004,90,Uruguay  
2004,98,US       
2005,92,Argentina
2005,96,Australia
2005,94,Austria  
2005,85,Brazil   
2005,92,Canada   
2005,94,Chile    
2005,82,Croatia  
2005,98,France   
2005,93,Germany  
2005,90,Greece   
2005,96,Hungary  
2005,89,Israel   
2005,95,Italy    
2005,87,Lebanon  
2005,84,Mexico   
2005,91,New Zeala
2005,97,Portugal 
2005,85,Romania  
2005,94,South Afr
2005,96,Spain    
2005,87,Uruguay  
2005,99,US       
2006,97,Argentina
2006,98,Australia
2006,95,Austria  
2006,83,Brazil   
2006,87,Bulgaria 
2006,92,Canada   
2006,94,Chile    
2006,91,Croatia  
2006,100,France   
2006,97,Germany  
2006,90,Greece   
2006,92,Hungary  
2006,91,Israel   
2006,98,Italy    
2006,86,Macedonia
2006,87,Moldova  
2006,92,New Zeala
2006,93,Portugal 
2006,84,Romania  
2006,90,Slovenia 
2006,92,South Afr
2006,97,Spain    
2006,86,Turkey   
2006,89,Uruguay  
2006,100,US       
2007,95,Argentina
2007,96,Australia
2007,95,Austria  
2007,85,Bosnia an
2007,81,Brazil   
2007,84,Bulgaria 
2007,92,Canada   
2007,93,Chile    
2007,89,Croatia  
2007,87,Cyprus   
2007,89,Czech Rep
2007,98,France   
2007,89,Georgia  
2007,97,Germany  
2007,90,Greece   
2007,96,Hungary  
2007,91,Israel   
2007,100,Italy    
2007,83,Lebanon  
2007,88,Macedonia
2007,92,Mexico   
2007,92,New Zeala
2007,97,Portugal 
2007,86,Romania  
2007,89,Serbia   
2007,92,Slovenia 
2007,95,South Afr
2007,94,Spain    
2007,90,Turkey   
2007,90,Uruguay  
2007,100,US       
2008,94,Argentina
2008,98,Australia
2008,98,Austria  
2008,89,Bulgaria 
2008,93,Canada   
2008,95,Chile    
2008,90,Croatia  
2008,87,Cyprus   
2008,84,Egypt    
2008,100,France   
2008,88,Georgia  
2008,97,Germany  
2008,92,Greece   
2008,91,Hungary  
2008,92,Israel   
2008,99,Italy    
2008,87,Lebanon  
2008,87,Macedonia
2008,88,Mexico   
2008,93,New Zeala
2008,86,Peru     
2008,100,Portugal 
2008,87,Romania  
2008,86,Serbia   
2008,87,Slovakia 
2008,90,Slovenia 
2008,93,South Afr
2008,95,Spain    
2008,88,Turkey   
2008,84,Ukraine  
2008,90,Uruguay  
2008,100,US       
2009,96,Argentina
2009,96,Australia
2009,96,Austria  
2009,87,Brazil   
2009,90,Bulgaria 
2009,91,Canada   
2009,93,Chile    
2009,89,China    
2009,90,Croatia  
2009,88,Czech Rep
2009,94,England  
2009,99,France   
2009,90,Georgia  
2009,97,Germany  
2009,89,Greece   
2009,95,Hungary  
2009,92,Israel   
2009,96,Italy    
2009,91,Lebanon  
2009,91,Mexico   
2009,90,Moldova  
2009,92,New Zeala
2009,81,Peru     
2009,96,Portugal 
2009,89,Romania  
2009,89,Serbia   
2009,90,Slovenia 
2009,94,South Afr
2009,98,Spain    
2009,90,Turkey   
2009,90,Uruguay  
2009,99,US       
2010,95,Argentina
2010,99,Australia
2010,97,Austria  
2010,82,Brazil   
2010,91,Bulgaria 
2010,92,Canada   
2010,93,Chile    
2010,89,Croatia  
2010,88,Cyprus   
2010,89,Czech Rep
2010,95,England  
2010,100,France   
2010,92,Georgia  
2010,96,Germany  
2010,92,Greece   
2010,90,Hungary  
2010,93,Israel   
2010,100,Italy    
2010,91,Lebanon  
2010,84,Macedonia
2010,90,Mexico   
2010,90,Moldova  
2010,90,Morocco  
2010,93,New Zeala
2010,85,Peru     
2010,95,Portugal 
2010,90,Romania  
2010,89,Slovenia 
2010,94,South Afr
2010,97,Spain    
2010,92,Turkey   
2010,88,Uruguay  
2010,99,US       
2011,88,         
2011,94,Argentina
2011,95,Australia
2011,96,Austria  
2011,88,Bosnia an
2011,88,Brazil   
2011,91,Bulgaria 
2011,92,Canada   
2011,94,Chile    
2011,90,Croatia  
2011,87,Czech Rep
2011,95,England  
2011,97,France   
2011,96,Germany  
2011,91,Greece   
2011,93,Hungary  
2011,93,India    
2011,94,Israel   
2011,98,Italy    
2011,91,Lebanon  
2011,89,Macedonia
2011,88,Mexico   
2011,89,Moldova  
2011,91,Morocco  
2011,93,New Zeala
2011,100,Portugal 
2011,88,Romania  
2011,87,Serbia   
2011,90,Slovenia 
2011,95,South Afr
2011,96,Spain    
2011,89,Switzerla
2011,92,Turkey   
2011,91,Uruguay  
2011,99,US       
2012,90,         
2012,95,Argentina
2012,97,Australia
2012,96,Austria  
2012,89,Brazil   
2012,91,Bulgaria 
2012,94,Canada   
2012,94,Chile    
2012,90,Croatia  
2012,88,Czech Rep
2012,89,England  
2012,97,France   
2012,89,Georgia  
2012,96,Germany  
2012,92,Greece   
2012,93,Hungary  
2012,91,India    
2012,93,Israel   
2012,99,Italy    
2012,91,Lebanon  
2012,88,Mexico   
2012,90,Moldova  
2012,93,Morocco  
2012,93,New Zeala
2012,86,Peru     
2012,97,Portugal 
2012,89,Romania  
2012,87,Serbia   
2012,89,Slovenia 
2012,94,South Afr
2012,97,Spain    
2012,90,Switzerla
2012,90,Turkey   
2012,89,Uruguay  
2012,99,US       
2013,92,         
2013,96,Argentina
2013,98,Australia
2013,97,Austria  
2013,89,Brazil   
2013,90,Bulgaria 
2013,94,Canada   
2013,94,Chile    
2013,91,Croatia  
2013,88,Czech Rep
2013,94,England  
2013,97,France   
2013,90,Georgia  
2013,95,Germany  
2013,92,Greece   
2013,97,Hungary  
2013,90,India    
2013,93,Israel   
2013,98,Italy    
2013,89,Lebanon  
2013,89,Macedonia
2013,83,Mexico   
2013,91,Moldova  
2013,90,Morocco  
2013,95,New Zeala
2013,85,Peru     
2013,97,Portugal 
2013,92,Romania  
2013,88,Serbia   
2013,90,Slovenia 
2013,94,South Afr
2013,94,Spain    
2013,90,Turkey   
2013,91,Uruguay  
2013,98,US       
2014,92,         
2014,95,Argentina
2014,95,Australia
2014,96,Austria  
2014,88,Brazil   
2014,90,Bulgaria 
2014,94,Canada   
2014,93,Chile    
2014,89,Cyprus   
2014,94,England  
2014,100,France   
2014,90,Georgia  
2014,97,Germany  
2014,93,Greece   
2014,93,Hungary  
2014,92,India    
2014,93,Israel   
2014,96,Italy    
2014,89,Lebanon  
2014,90,Luxembour
2014,88,Macedonia
2014,89,Moldova  
2014,90,Morocco  
2014,95,New Zeala
2014,84,Peru     
2014,96,Portugal 
2014,88,Romania  
2014,86,Serbia   
2014,89,Slovenia 
2014,95,South Afr
2014,96,Spain    
2014,91,Turkey   
2014,84,Ukraine  
2014,89,Uruguay  
2014,98,US       
2015,92,         
2015,94,Argentina
2015,88,Armenia  
2015,94,Australia
2015,96,Austria  
2015,86,Brazil   
2015,90,Bulgaria 
2015,93,Canada   
2015,92,Chile    
2015,89,Croatia  
2015,91,England  
2015,97,France   
2015,90,Georgia  
2015,98,Germany  
2015,92,Greece   
2015,90,Hungary  
2015,90,India    
2015,92,Israel   
2015,95,Italy    
2015,88,Luxembour
2015,90,Moldova  
2015,88,Morocco  
2015,93,New Zeala
2015,95,Portugal 
2015,89,Romania  
2015,90,Slovenia 
2015,94,South Afr
2015,93,Spain    
2015,87,Turkey   
2015,92,Uruguay  
2015,96,US       
2016,92,         
2016,90,Argentina
2016,92,Australia
2016,94,Austria  
2016,85,Brazil   
2016,89,Bulgaria 
2016,88,Canada   
2016,91,Chile    
2016,96,France   
2016,92,Germany  
2016,92,Greece   
2016,94,Hungary  
2016,89,Israel   
2016,93,Italy    
2016,88,Morocco  
2016,91,New Zeala
2016,93,Portugal 
2016,87,Romania  
2016,94,South Afr
2016,92,Spain    
2016,88,Uruguay  
2016,96,US       
2017,86,Argentina
2017,84,Brazil   
2017,87,Chile    
2017,91,Uruguay  
