a,b,c
Michael Schachner ,Bobal-Cabernet Sauvignon  ,84
Michael Schachner ,Bonarda                   ,86
Michael Schachner ,Bordeaux-style Red Blend  ,89
Michael Schachner ,Bordeaux-style White Blend,83
Michael Schachner ,Cabernet Blend            ,89
Michael Schachner ,Cabernet Franc            ,88
Michael Schachner ,Cabernet Franc-Cabernet Sa,88
Michael Schachner ,Cabernet Franc-CarmenÃ¨re ,86
Michael Schachner ,Cabernet Franc-Malbec     ,91
Michael Schachner ,Cabernet Sauvignon        ,86
Michael Schachner ,Cabernet Sauvignon-Caberne,88
Michael Schachner ,Cabernet Sauvignon-CarmenÃ,87
Michael Schachner ,Cabernet Sauvignon-Malbec ,86
Michael Schachner ,Cabernet Sauvignon-Merlot ,86
Michael Schachner ,Cabernet Sauvignon-Shiraz ,86
Michael Schachner ,Cabernet Sauvignon-Syrah  ,86
Michael Schachner ,Cabernet Sauvignon-Tempran,86
Michael Schachner ,Cabernet-Malbec           ,86
Michael Schachner ,Cabernet-Syrah            ,88
Michael Schachner ,Carignan                  ,88
Michael Schachner ,Carignan-Grenache         ,89
Michael Schachner ,CarineÃ±a                 ,86
Michael Schachner ,CariÃ±ena-Garnacha        ,89
Michael Schachner ,CarmenÃ¨re                ,86
Michael Schachner ,CarmenÃ¨re-Cabernet Sauvig,88
Michael Schachner ,CarmenÃ¨re-Syrah          ,87
Michael Schachner ,Champagne Blend           ,86
Michael Schachner ,Chardonnay                ,84
Michael Schachner ,Chardonnay-Sauvignon      ,84
Michael Schachner ,Chardonnay-Sauvignon Blanc,87
Michael Schachner ,Chardonnay-Semillon       ,81
Michael Schachner ,Chardonnay-Viognier       ,84
Michael Schachner ,Chenin Blanc              ,83
Michael Schachner ,Chenin Blanc-Chardonnay   ,85
Michael Schachner ,Cinsault                  ,86
Michael Schachner ,DoÃ±a Blanca              ,84
Michael Schachner ,ForcallÃ                  ,83
Michael Schachner ,Garnacha                  ,85
Michael Schachner ,Garnacha Blanca           ,86
Michael Schachner ,Garnacha Blend            ,87
Michael Schachner ,Garnacha Tintorera        ,87
Michael Schachner ,Garnacha-Cabernet         ,85
Michael Schachner ,Garnacha-CariÃ±ena        ,93
Michael Schachner ,Garnacha-Monastrell       ,87
Michael Schachner ,Garnacha-Syrah            ,84
Michael Schachner ,Garnacha-Tempranillo      ,86
Michael Schachner ,GewÃ¼rztraminer           ,84
Michael Schachner ,Godello                   ,86
Michael Schachner ,Graciano                  ,88
Michael Schachner ,Grenache                  ,86
Michael Schachner ,Grenache Blanc            ,86
Michael Schachner ,Grenache Blend            ,84
Michael Schachner ,Grenache-Carignan         ,89
Michael Schachner ,Grenache-Syrah            ,88
Michael Schachner ,Hondarrabi Zuri           ,86
Michael Schachner ,Jaen                      ,86
Michael Schachner ,ListÃ¡n Negro             ,87
Michael Schachner ,Macabeo                   ,85
Michael Schachner ,Macabeo-Chardonnay        ,85
Michael Schachner ,Macabeo-Moscatel          ,85
Michael Schachner ,Malbec                    ,87
Michael Schachner ,Malbec Blend              ,90
Michael Schachner ,Malbec-Bonarda            ,86
Michael Schachner ,Malbec-Cabernet           ,91
Michael Schachner ,Malbec-Cabernet Franc     ,88
Michael Schachner ,Malbec-Cabernet Sauvignon ,88
Michael Schachner ,Malbec-CarmÃ©nÃ¨re        ,91
Michael Schachner ,Malbec-Merlot             ,86
Michael Schachner ,Malbec-Petit Verdot       ,91
Michael Schachner ,Malbec-Syrah              ,85
Michael Schachner ,Malbec-Tannat             ,84
Michael Schachner ,Malbec-Tempranillo        ,86
Michael Schachner ,Malvar                    ,81
Michael Schachner ,Malvasia                  ,84
Michael Schachner ,Malvasia-Viura            ,85
Michael Schachner ,Marsanne                  ,81
Michael Schachner ,Mataro                    ,90
Michael Schachner ,Maturana                  ,86
Michael Schachner ,Mazuelo                   ,87
Michael Schachner ,MencÃ­a                   ,88
Michael Schachner ,Merlot                    ,85
Michael Schachner ,Merlot-Cabernet           ,86
Michael Schachner ,Merlot-Cabernet Franc     ,87
Michael Schachner ,Merlot-Cabernet Sauvignon ,85
Michael Schachner ,Merseguera-Sauvignon Blanc,85
Michael Schachner ,Meseguera                 ,91
Michael Schachner ,Monastrell                ,87
Michael Schachner ,Monastrell-Petit Verdot   ,88
Michael Schachner ,Monastrell-Syrah          ,86
Michael Schachner ,Moscatel                  ,87
Michael Schachner ,Moscatel de AlejandrÃ­a   ,85
Michael Schachner ,Moscato                   ,82
Michael Schachner ,MourvÃ¨dre                ,92
Michael Schachner ,Muscat                    ,86
Michael Schachner ,Muscat d'Alexandrie       ,84
Michael Schachner ,Muscat of Alexandria      ,91
Michael Schachner ,Muscatel                  ,87
Michael Schachner ,MÃ¼ller-Thurgau           ,80
Michael Schachner ,Nebbiolo                  ,87
Michael Schachner ,Palomino                  ,89
Michael Schachner ,Pansa Blanca              ,85
Michael Schachner ,Parraleta                 ,86
Michael Schachner ,PaÃ­s                     ,83
Michael Schachner ,Pedro XimÃ©nez            ,89
Michael Schachner ,Petit Verdot              ,88
Michael Schachner ,Petite Sirah              ,87
Michael Schachner ,Petite Verdot             ,86
Michael Schachner ,Picapoll                  ,82
Michael Schachner ,Pinot Grigio              ,83
Michael Schachner ,Pinot Gris                ,84
Michael Schachner ,Pinot Noir                ,85
Michael Schachner ,Pinot Noir-Syrah          ,83
Michael Schachner ,Port                      ,87
Michael Schachner ,Premsal                   ,83
Michael Schachner ,Prieto Picudo             ,86
Michael Schachner ,Red Blend                 ,88
Michael Schachner ,RhÃ´ne-style Red Blend    ,86
Michael Schachner ,RhÃ´ne-style White Blend  ,87
Michael Schachner ,Riesling                  ,86
Michael Schachner ,Rosado                    ,84
Michael Schachner ,RosÃ©                     ,84
Michael Schachner ,Rufete                    ,85
Michael Schachner ,Sangiovese                ,88
Michael Schachner ,Sangiovese Grosso         ,88
Michael Schachner ,Sauvignon                 ,85
Michael Schachner ,Sauvignon Blanc           ,85
Michael Schachner ,Sauvignon Blanc-Chardonnay,84
Michael Schachner ,Sauvignon Blanc-Chenin Bla,86
Michael Schachner ,Sauvignon Blanc-Semillon  ,88
Michael Schachner ,Sauvignon Blanc-Verdejo   ,84
Michael Schachner ,Sauvignon Gris            ,84
Michael Schachner ,Sherry                    ,89
Michael Schachner ,Shiraz                    ,85
Michael Schachner ,Shiraz-Cabernet Sauvignon ,86
Michael Schachner ,Shiraz-Malbec             ,90
Michael Schachner ,Shiraz-Tempranillo        ,82
Michael Schachner ,Sparkling Blend           ,86
Michael Schachner ,Syrah                     ,87
Michael Schachner ,Syrah-Bonarda             ,87
Michael Schachner ,Syrah-Cabernet            ,86
Michael Schachner ,Syrah-Cabernet Franc      ,91
Michael Schachner ,Syrah-Cabernet Sauvignon  ,87
Michael Schachner ,Syrah-Carignan            ,92
Michael Schachner ,Syrah-Grenache            ,85
Michael Schachner ,Syrah-Malbec              ,89
Michael Schachner ,Syrah-Merlot              ,89
Michael Schachner ,Syrah-MourvÃ¨dre          ,91
Michael Schachner ,Syrah-Petit Verdot        ,90
Michael Schachner ,Syrah-Tempranillo         ,87
Michael Schachner ,Syrah-Viognier            ,90
Michael Schachner ,SÃ©millon                 ,84
Michael Schachner ,Tannat                    ,86
Michael Schachner ,Tannat-Cabernet Franc     ,90
Michael Schachner ,Tannat-Merlot             ,86
Michael Schachner ,Tannat-Syrah              ,84
Michael Schachner ,Tempranillo               ,87
Michael Schachner ,Tempranillo Blanco        ,83
Michael Schachner ,Tempranillo Blend         ,88
Michael Schachner ,Tempranillo-Cabernet Sauvi,86
Michael Schachner ,Tempranillo-Garnacha      ,85
Michael Schachner ,Tempranillo-Malbec        ,91
Michael Schachner ,Tempranillo-Merlot        ,85
Michael Schachner ,Tempranillo-Shiraz        ,84
Michael Schachner ,Tempranillo-Syrah         ,82
Michael Schachner ,Tempranillo-Tannat        ,88
Michael Schachner ,Tinta de Toro             ,89
Michael Schachner ,Tinta del Pais            ,95
Michael Schachner ,Tinta del Toro            ,86
Michael Schachner ,Tinta Fina                ,87
Michael Schachner ,Tinto del Pais            ,87
Michael Schachner ,Tinto Fino                ,89
Michael Schachner ,Tinto Velasco             ,85
Michael Schachner ,Tocai                     ,85
Michael Schachner ,Torontel                  ,92
Michael Schachner ,TorrontÃ©s                ,85
Michael Schachner ,Touriga Nacional Blend    ,90
Michael Schachner ,Trebbiano                 ,83
Michael Schachner ,Treixadura                ,87
Michael Schachner ,Trepat                    ,87
Michael Schachner ,Trousseau                 ,88
Michael Schachner ,Verdejo                   ,86
Michael Schachner ,Verdejo-Sauvignon Blanc   ,85
Michael Schachner ,Verdejo-Viura             ,85
Michael Schachner ,Verdil                    ,86
Michael Schachner ,Verdosilla                ,84
Michael Schachner ,Vermentino                ,91
Michael Schachner ,Vernaccia                 ,87
Michael Schachner ,Vidadillo                 ,89
Michael Schachner ,Viognier                  ,84
Michael Schachner ,Viognier-Chardonnay       ,84
Michael Schachner ,Viura                     ,85
Michael Schachner ,Viura-Chardonnay          ,84
Michael Schachner ,Viura-Verdejo             ,84
Michael Schachner ,White Blend               ,85
Michael Schachner ,Xarel-lo                  ,85
Mike DeSimone     ,Argaman                   ,91
Mike DeSimone     ,Bordeaux-style Red Blend  ,89
Mike DeSimone     ,BoÄŸazkere                ,89
Mike DeSimone     ,Cabernet Blend            ,89
Mike DeSimone     ,Cabernet Franc            ,91
Mike DeSimone     ,Cabernet Franc-Cabernet Sa,90
Mike DeSimone     ,Cabernet Merlot           ,91
Mike DeSimone     ,Cabernet Sauvignon        ,90
Mike DeSimone     ,Cabernet Sauvignon Grenach,89
Mike DeSimone     ,Cabernet Sauvignon-Caberne,92
Mike DeSimone     ,Cabernet Sauvignon-Merlot ,88
Mike DeSimone     ,Cabernet Sauvignon-Shiraz ,90
Mike DeSimone     ,Carignan                  ,91
Mike DeSimone     ,Chardonnay                ,88
Mike DeSimone     ,Chardonnay-Sauvignon      ,89
Mike DeSimone     ,Chardonnay-Sauvignon Blanc,88
Mike DeSimone     ,Chenin Blanc              ,89
Mike DeSimone     ,Chinuri                   ,85
Mike DeSimone     ,Emir                      ,86
Mike DeSimone     ,FumÃ© Blanc               ,86
Mike DeSimone     ,Kalecik Karasi            ,89
Mike DeSimone     ,Kangoun                   ,87
Mike DeSimone     ,Karalahna                 ,87
Mike DeSimone     ,Karasakiz                 ,89
Mike DeSimone     ,Kinali Yapincak           ,84
Mike DeSimone     ,Kisi                      ,87
Mike DeSimone     ,Kuntra                    ,86
Mike DeSimone     ,Marawi                    ,87
Mike DeSimone     ,Marselan                  ,89
Mike DeSimone     ,Merlot                    ,89
Mike DeSimone     ,Misket                    ,85
Mike DeSimone     ,Moscato                   ,89
Mike DeSimone     ,Mtsvane                   ,87
Mike DeSimone     ,Narince                   ,87
Mike DeSimone     ,Ojaleshi                  ,88
Mike DeSimone     ,Okuzgozu                  ,90
Mike DeSimone     ,Other                     ,89
Mike DeSimone     ,Otskhanuri Sapere         ,90
Mike DeSimone     ,Papaskarasi               ,86
Mike DeSimone     ,Petit Verdot              ,90
Mike DeSimone     ,Petite Sirah              ,90
Mike DeSimone     ,Pinot Gris                ,90
Mike DeSimone     ,Pinot Noir                ,89
Mike DeSimone     ,Red Blend                 ,89
Mike DeSimone     ,RhÃ´ne-style Red Blend    ,91
Mike DeSimone     ,RhÃ´ne-style White Blend  ,85
Mike DeSimone     ,Riesling                  ,90
Mike DeSimone     ,Rkatsiteli                ,86
Mike DeSimone     ,RosÃ©                     ,87
Mike DeSimone     ,Roussanne-Marsanne        ,88
Mike DeSimone     ,Sangiovese                ,90
Mike DeSimone     ,Saperavi                  ,89
Mike DeSimone     ,Saperavi-Merlot           ,90
Mike DeSimone     ,Sauvignon Blanc           ,88
Mike DeSimone     ,Sauvignon Blanc-Semillon  ,86
Mike DeSimone     ,Shiraz                    ,90
Mike DeSimone     ,Sparkling Blend           ,86
Mike DeSimone     ,Syrah                     ,90
Mike DeSimone     ,Syrah-Cabernet Sauvignon  ,91
Mike DeSimone     ,Syrah-Grenache            ,90
Mike DeSimone     ,Syrah-Merlot              ,89
Mike DeSimone     ,Syrah-MourvÃ¨dre          ,90
Mike DeSimone     ,Tsolikouri                ,87
Mike DeSimone     ,Viognier                  ,88
Mike DeSimone     ,White Blend               ,87
Mike DeSimone     ,Yapincak                  ,85
Mike DeSimone     ,Ã‡alkarasÄ±               ,86
Paul Gregutt      ,AlbariÃ±o                 ,89
Paul Gregutt      ,AligotÃ©                  ,87
Paul Gregutt      ,Arneis                    ,89
Paul Gregutt      ,Auxerrois                 ,89
Paul Gregutt      ,Baco Noir                 ,86
Paul Gregutt      ,Barbera                   ,86
Paul Gregutt      ,Barbera-Nebbiolo          ,87
Paul Gregutt      ,Black Muscat              ,88
Paul Gregutt      ,BlaufrÃ¤nkisch            ,85
Paul Gregutt      ,Bordeaux-style Red Blend  ,90
Paul Gregutt      ,Bordeaux-style White Blend,89
Paul Gregutt      ,Cabernet Blend            ,84
Paul Gregutt      ,Cabernet Franc            ,88
Paul Gregutt      ,Cabernet Franc-Merlot     ,91
Paul Gregutt      ,Cabernet Merlot           ,85
Paul Gregutt      ,Cabernet Sauvignon        ,89
Paul Gregutt      ,Cabernet Sauvignon-Caberne,91
Paul Gregutt      ,Cabernet Sauvignon-Malbec ,88
Paul Gregutt      ,Cabernet Sauvignon-Merlot ,89
Paul Gregutt      ,Cabernet Sauvignon-Sangiov,92
Paul Gregutt      ,Cabernet Sauvignon-Syrah  ,92
Paul Gregutt      ,Cabernet-Syrah            ,89
Paul Gregutt      ,Carignan-Grenache         ,88
Paul Gregutt      ,CarmenÃ¨re                ,87
Paul Gregutt      ,Cayuga                    ,84
Paul Gregutt      ,Champagne Blend           ,88
Paul Gregutt      ,Chardonnay                ,89
Paul Gregutt      ,Chardonnay-Pinot Blanc    ,88
Paul Gregutt      ,Chasselas                 ,90
Paul Gregutt      ,Chenin Blanc              ,88
Paul Gregutt      ,Cinsault                  ,87
Paul Gregutt      ,Claret                    ,85
Paul Gregutt      ,Counoise                  ,88
Paul Gregutt      ,Dolcetto                  ,88
Paul Gregutt      ,Edelzwicker               ,90
Paul Gregutt      ,FumÃ© Blanc               ,86
Paul Gregutt      ,G-S-M                     ,89
Paul Gregutt      ,Gamay                     ,89
Paul Gregutt      ,Gamay Noir                ,87
Paul Gregutt      ,Garnacha                  ,87
Paul Gregutt      ,GewÃ¼rztraminer           ,88
Paul Gregutt      ,GewÃ¼rztraminer-Riesling  ,91
Paul Gregutt      ,Graciano                  ,90
Paul Gregutt      ,Grenache                  ,89
Paul Gregutt      ,Grenache Blanc            ,89
Paul Gregutt      ,Grenache-Carignan         ,89
Paul Gregutt      ,GrÃ¼ner Veltliner         ,88
Paul Gregutt      ,Johannisberg Riesling     ,87
Paul Gregutt      ,Lagrein                   ,86
Paul Gregutt      ,Lemberger                 ,87
Paul Gregutt      ,Madeleine Angevine        ,86
Paul Gregutt      ,Malbec                    ,88
Paul Gregutt      ,Malbec-Tannat             ,91
Paul Gregutt      ,Marsanne                  ,88
Paul Gregutt      ,Marsanne-Roussanne        ,87
Paul Gregutt      ,Melon                     ,88
Paul Gregutt      ,Meritage                  ,89
Paul Gregutt      ,Merlot                    ,88
Paul Gregutt      ,Merlot-Cabernet           ,88
Paul Gregutt      ,Merlot-Cabernet Franc     ,91
Paul Gregutt      ,Merlot-Cabernet Sauvignon ,87
Paul Gregutt      ,Monastrell                ,87
Paul Gregutt      ,Mondeuse                  ,87
Paul Gregutt      ,Morio Muskat              ,87
Paul Gregutt      ,Moscato                   ,86
Paul Gregutt      ,MourvÃ¨dre                ,89
Paul Gregutt      ,MourvÃ¨dre-Syrah          ,87
Paul Gregutt      ,Muscat                    ,87
Paul Gregutt      ,Muscat Canelli            ,91
Paul Gregutt      ,MÃ¼ller-Thurgau           ,85
Paul Gregutt      ,Nebbiolo                  ,86
Paul Gregutt      ,Orange Muscat             ,86
Paul Gregutt      ,Petit Verdot              ,88
Paul Gregutt      ,Petite Sirah              ,87
Paul Gregutt      ,Petite Verdot             ,90
Paul Gregutt      ,Pinot Auxerrois           ,89
Paul Gregutt      ,Pinot Blanc               ,88
Paul Gregutt      ,Pinot Blanc-Pinot Noir    ,85
Paul Gregutt      ,Pinot Grigio              ,86
Paul Gregutt      ,Pinot Gris                ,88
Paul Gregutt      ,Pinot Meunier             ,88
Paul Gregutt      ,Pinot Noir                ,89
Paul Gregutt      ,Pinot Noir-Syrah          ,90
Paul Gregutt      ,Pinot-Chardonnay          ,89
Paul Gregutt      ,Pinotage                  ,88
Paul Gregutt      ,Port                      ,93
Paul Gregutt      ,Primitivo                 ,86
Paul Gregutt      ,Prosecco                  ,88
Paul Gregutt      ,Red Blend                 ,88
Paul Gregutt      ,RhÃ´ne-style Red Blend    ,89
Paul Gregutt      ,RhÃ´ne-style White Blend  ,90
Paul Gregutt      ,Riesling                  ,89
Paul Gregutt      ,RosÃ©                     ,87
Paul Gregutt      ,Roussanne                 ,89
Paul Gregutt      ,Roussanne-Viognier        ,86
Paul Gregutt      ,Sangiovese                ,87
Paul Gregutt      ,Sangiovese Cabernet       ,85
Paul Gregutt      ,Sauvignon Blanc           ,88
Paul Gregutt      ,Sauvignon Blanc-Semillon  ,89
Paul Gregutt      ,Semillon-Chardonnay       ,85
Paul Gregutt      ,Semillon-Sauvignon Blanc  ,89
Paul Gregutt      ,Shiraz                    ,85
Paul Gregutt      ,Siegerrebe                ,84
Paul Gregutt      ,Sparkling Blend           ,87
Paul Gregutt      ,Syrah                     ,89
Paul Gregutt      ,Syrah-Cabernet            ,89
Paul Gregutt      ,Syrah-Cabernet Sauvignon  ,89
Paul Gregutt      ,Syrah-Grenache            ,90
Paul Gregutt      ,Syrah-MourvÃ¨dre          ,85
Paul Gregutt      ,Syrah-Petite Sirah        ,84
Paul Gregutt      ,SÃ©millon                 ,90
Paul Gregutt      ,Tannat                    ,89
Paul Gregutt      ,Tempranillo               ,87
Paul Gregutt      ,Tempranillo-Cabernet Sauvi,91
Paul Gregutt      ,Tempranillo-Garnacha      ,87
Paul Gregutt      ,Tempranillo-Syrah         ,91
Paul Gregutt      ,Tinta Amarela             ,90
Paul Gregutt      ,Touriga Nacional          ,91
Paul Gregutt      ,Touriga Nacional Blend    ,93
Paul Gregutt      ,Vermentino                ,86
Paul Gregutt      ,Vidal                     ,91
Paul Gregutt      ,Viognier                  ,89
Paul Gregutt      ,Viognier-GewÃ¼rztraminer  ,86
Paul Gregutt      ,Viognier-Marsanne         ,86
Paul Gregutt      ,Viognier-Roussanne        ,88
Paul Gregutt      ,White Blend               ,88
Paul Gregutt      ,White Riesling            ,90
Paul Gregutt      ,Zinfandel                 ,87
Paul Gregutt      ,Zweigelt                  ,86
Roger Voss        ,Abouriou                  ,89
Roger Voss        ,Alfrocheiro               ,88
Roger Voss        ,Alicante Bouschet         ,89
Roger Voss        ,AligotÃ©                  ,86
Roger Voss        ,Alsace white blend        ,85
Roger Voss        ,Altesse                   ,88
Roger Voss        ,AlvarelhÃ£o               ,88
Roger Voss        ,Alvarinho                 ,88
Roger Voss        ,Alvarinho-Chardonnay      ,87
Roger Voss        ,AntÃ£o Vaz                ,87
Roger Voss        ,Aragonez                  ,87
Roger Voss        ,AragonÃªs                 ,88
Roger Voss        ,Arinto                    ,87
Roger Voss        ,Austrian Red Blend        ,89
Roger Voss        ,Austrian white blend      ,89
Roger Voss        ,Auxerrois                 ,86
Roger Voss        ,Avesso                    ,88
Roger Voss        ,Azal                      ,86
Roger Voss        ,Baga                      ,90
Roger Voss        ,Baga-Touriga Nacional     ,91
Roger Voss        ,Bastardo                  ,86
Roger Voss        ,Biancu Gentile            ,89
Roger Voss        ,Bical                     ,86
Roger Voss        ,BlaufrÃ¤nkisch            ,88
Roger Voss        ,Bordeaux-style Red Blend  ,88
Roger Voss        ,Bordeaux-style White Blend,88
Roger Voss        ,Braucol                   ,90
Roger Voss        ,Bual                      ,94
Roger Voss        ,Cabernet                  ,85
Roger Voss        ,Cabernet Blend            ,85
Roger Voss        ,Cabernet Franc            ,88
Roger Voss        ,Cabernet Franc-Cabernet Sa,89
Roger Voss        ,Cabernet Merlot           ,86
Roger Voss        ,Cabernet Sauvignon        ,87
Roger Voss        ,Cabernet Sauvignon-Merlot ,85
Roger Voss        ,Cabernet Sauvignon-Syrah  ,90
Roger Voss        ,Cabernet-Syrah            ,89
Roger Voss        ,Carcajolu                 ,88
Roger Voss        ,Carignan                  ,89
Roger Voss        ,CastelÃ£o                 ,87
Roger Voss        ,Cerceal                   ,89
Roger Voss        ,Cercial                   ,88
Roger Voss        ,Champagne Blend           ,90
Roger Voss        ,Chardonnay                ,89
Roger Voss        ,Chardonnay Weissburgunder ,94
Roger Voss        ,Chardonnay-Pinot Blanc    ,90
Roger Voss        ,Chardonnay-Pinot Gris     ,85
Roger Voss        ,Chardonnay-Sauvignon      ,86
Roger Voss        ,Chardonnay-Sauvignon Blanc,88
Roger Voss        ,Chardonnay-Viognier       ,87
Roger Voss        ,Chasselas                 ,88
Roger Voss        ,Chenin Blanc              ,89
Roger Voss        ,Chenin Blanc-Chardonnay   ,88
Roger Voss        ,Colombard                 ,85
Roger Voss        ,Colombard-Sauvignon Blanc ,85
Roger Voss        ,Colombard-Ugni Blanc      ,85
Roger Voss        ,CÃ³dega do Larinho        ,87
Roger Voss        ,Duras                     ,88
Roger Voss        ,EkigaÃ¯na                 ,85
Roger Voss        ,Encruzado                 ,89
Roger Voss        ,Espadeiro                 ,84
Roger Voss        ,Fer Servadou              ,87
Roger Voss        ,FernÃ£o Pires             ,87
Roger Voss        ,Folle Blanche             ,85
