a,b,c
Roger Voss        ,Gamay                     ,88
Roger Voss        ,Gamay Noir                ,87
Roger Voss        ,Garganega                 ,86
Roger Voss        ,Gelber Muskateller        ,88
Roger Voss        ,GewÃ¼rztraminer           ,88
Roger Voss        ,GewÃ¼rztraminer-Riesling  ,82
Roger Voss        ,Gouveio                   ,88
Roger Voss        ,Grauburgunder             ,89
Roger Voss        ,Grenache                  ,84
Roger Voss        ,Grenache Blanc            ,89
Roger Voss        ,Grolleau                  ,87
Roger Voss        ,Gros and Petit Manseng    ,89
Roger Voss        ,Gros Manseng              ,88
Roger Voss        ,Gros Plant                ,86
Roger Voss        ,GrÃ¼ner Veltliner         ,89
Roger Voss        ,JacquÃ¨re                 ,87
Roger Voss        ,Jaen                      ,90
Roger Voss        ,Jampal                    ,88
Roger Voss        ,Loin de l'Oeil            ,91
Roger Voss        ,Loureiro                  ,87
Roger Voss        ,Loureiro-Arinto           ,86
Roger Voss        ,Madeira Blend             ,88
Roger Voss        ,Malbec                    ,89
Roger Voss        ,Malbec Blend              ,88
Roger Voss        ,Malbec-Cabernet Franc     ,85
Roger Voss        ,Malbec-Merlot             ,88
Roger Voss        ,Malbec-Tannat             ,92
Roger Voss        ,Malvasia                  ,88
Roger Voss        ,Malvasia Fina             ,88
Roger Voss        ,Mansois                   ,87
Roger Voss        ,Maria Gomes               ,88
Roger Voss        ,Maria Gomes-Bical         ,86
Roger Voss        ,Mauzac                    ,86
Roger Voss        ,Melon                     ,88
Roger Voss        ,Merlot                    ,87
Roger Voss        ,Merlot-Cabernet           ,88
Roger Voss        ,Merlot-Cabernet Franc     ,88
Roger Voss        ,Merlot-Cabernet Sauvignon ,86
Roger Voss        ,Merlot-Malbec             ,86
Roger Voss        ,Merlot-Syrah              ,88
Roger Voss        ,Merlot-Tannat             ,89
Roger Voss        ,Mondeuse                  ,86
Roger Voss        ,Moscatel                  ,89
Roger Voss        ,Moscatel GraÃºdo          ,87
Roger Voss        ,Moscatel Roxo             ,89
Roger Voss        ,Moscato                   ,87
Roger Voss        ,MourvÃ¨dre                ,91
Roger Voss        ,Muscadel                  ,88
Roger Voss        ,Muscadelle                ,90
Roger Voss        ,Muscat                    ,88
Roger Voss        ,Muskat Ottonel            ,87
Roger Voss        ,MÃ¼ller-Thurgau           ,87
Roger Voss        ,Negrette                  ,88
Roger Voss        ,Nielluciu                 ,89
Roger Voss        ,Ondenc                    ,90
Roger Voss        ,Petit Courbu              ,88
Roger Voss        ,Petit Manseng             ,91
Roger Voss        ,Petit Meslier             ,89
Roger Voss        ,Petit Verdot              ,90
Roger Voss        ,Petite Verdot             ,88
Roger Voss        ,Pinot Auxerrois           ,85
Roger Voss        ,Pinot Bianco              ,87
Roger Voss        ,Pinot Blanc               ,86
Roger Voss        ,Pinot Blanc-Chardonnay    ,88
Roger Voss        ,Pinot Grigio              ,86
Roger Voss        ,Pinot Gris                ,88
Roger Voss        ,Pinot Meunier             ,90
Roger Voss        ,Pinot Noir                ,89
Roger Voss        ,Pinot Noir-Gamay          ,85
Roger Voss        ,Port                      ,89
Roger Voss        ,Portuguese Red            ,88
Roger Voss        ,Portuguese RosÃ©          ,84
Roger Voss        ,Portuguese Sparkling      ,86
Roger Voss        ,Portuguese White          ,86
Roger Voss        ,Poulsard                  ,87
Roger Voss        ,Provence red blend        ,89
Roger Voss        ,Provence white blend      ,88
Roger Voss        ,Prunelard                 ,91
Roger Voss        ,Rabigato                  ,89
Roger Voss        ,Ramisco                   ,93
Roger Voss        ,Red Blend                 ,88
Roger Voss        ,RhÃ´ne-style Red Blend    ,90
Roger Voss        ,RhÃ´ne-style White Blend  ,89
Roger Voss        ,Ribolla Gialla            ,86
Roger Voss        ,Riesling                  ,89
Roger Voss        ,Rolle                     ,88
Roger Voss        ,Romorantin                ,90
Roger Voss        ,Rosado                    ,86
Roger Voss        ,Rosenmuskateller          ,92
Roger Voss        ,RosÃ©                     ,86
Roger Voss        ,Roter Traminer            ,90
Roger Voss        ,Roter Veltliner           ,87
Roger Voss        ,Rotgipfler                ,88
Roger Voss        ,Roussanne                 ,90
Roger Voss        ,Sacy                      ,86
Roger Voss        ,Sangiovese                ,90
Roger Voss        ,Sauvignon                 ,91
Roger Voss        ,Sauvignon Blanc           ,88
Roger Voss        ,Sauvignon Blanc-Chardonnay,89
Roger Voss        ,Sauvignon Blanc-Sauvignon ,86
Roger Voss        ,Sauvignon Blanc-Semillon  ,86
Roger Voss        ,Sauvignon Gris            ,87
Roger Voss        ,Sauvignon-SÃ©millon       ,86
Roger Voss        ,Savagnin                  ,89
Roger Voss        ,Scheurebe                 ,91
Roger Voss        ,Sciaccerellu              ,88
Roger Voss        ,Semillon-Sauvignon Blanc  ,86
Roger Voss        ,Sercial                   ,94
Roger Voss        ,Shiraz                    ,90
Roger Voss        ,Siria                     ,87
Roger Voss        ,SousÃ£o                   ,88
Roger Voss        ,Sparkling Blend           ,86
Roger Voss        ,St. Laurent               ,88
Roger Voss        ,Sylvaner                  ,86
Roger Voss        ,Syrah                     ,88
Roger Voss        ,Syrah-Merlot              ,86
Roger Voss        ,SÃ¤mling                  ,92
Roger Voss        ,SÃ©millon                 ,88
Roger Voss        ,Tannat                    ,91
Roger Voss        ,Tannat-Cabernet           ,90
Roger Voss        ,Tannat-Cabernet Franc     ,91
Roger Voss        ,Tannat-Merlot             ,89
Roger Voss        ,Tannat-Syrah              ,87
Roger Voss        ,Terrantez                 ,95
Roger Voss        ,Tinta Barroca             ,86
Roger Voss        ,Tinta Cao                 ,90
Roger Voss        ,Tinta Francisca           ,90
Roger Voss        ,Tinta MiÃºda              ,87
Roger Voss        ,Tinta Negra Mole          ,92
Roger Voss        ,Tinta Roriz               ,88
Roger Voss        ,Tocai                     ,90
Roger Voss        ,Touriga Franca            ,88
Roger Voss        ,Touriga Nacional          ,89
Roger Voss        ,Touriga Nacional Blend    ,88
Roger Voss        ,Touriga Nacional-Cabernet ,88
Roger Voss        ,Traminer                  ,89
Roger Voss        ,Trincadeira               ,87
Roger Voss        ,Trousseau                 ,87
Roger Voss        ,Ugni Blanc-Colombard      ,85
Roger Voss        ,Verdelho                  ,87
Roger Voss        ,Vermentino                ,87
Roger Voss        ,VinhÃ£o                   ,86
Roger Voss        ,Viognier                  ,88
Roger Voss        ,Viognier-Chardonnay       ,88
Roger Voss        ,Viosinho                  ,88
Roger Voss        ,Vital                     ,90
Roger Voss        ,Weissburgunder            ,88
Roger Voss        ,Welschriesling            ,89
Roger Voss        ,White Blend               ,87
Roger Voss        ,White Port                ,86
Roger Voss        ,Zierfandler               ,90
Roger Voss        ,Zweigelt                  ,87
Sean P. Sullivan  ,AlbariÃ±o                 ,86
Sean P. Sullivan  ,AligotÃ©                  ,87
Sean P. Sullivan  ,Auxerrois                 ,90
Sean P. Sullivan  ,Baco Noir                 ,84
Sean P. Sullivan  ,Barbera                   ,88
Sean P. Sullivan  ,BlaufrÃ¤nkisch            ,86
Sean P. Sullivan  ,Bordeaux-style Red Blend  ,90
Sean P. Sullivan  ,Bordeaux-style White Blend,88
Sean P. Sullivan  ,Cabernet                  ,88
Sean P. Sullivan  ,Cabernet Franc            ,89
Sean P. Sullivan  ,Cabernet Franc-Merlot     ,91
Sean P. Sullivan  ,Cabernet Merlot           ,84
Sean P. Sullivan  ,Cabernet Sauvignon        ,89
Sean P. Sullivan  ,Cabernet Sauvignon-Caberne,86
Sean P. Sullivan  ,Cabernet Sauvignon-Merlot ,86
Sean P. Sullivan  ,Cabernet Sauvignon-Syrah  ,89
Sean P. Sullivan  ,Carignan-Grenache         ,89
Sean P. Sullivan  ,CarmenÃ¨re                ,88
Sean P. Sullivan  ,Chardonnay                ,87
Sean P. Sullivan  ,Chardonnay-Viognier       ,85
Sean P. Sullivan  ,Chenin Blanc              ,88
Sean P. Sullivan  ,Cinsault                  ,89
Sean P. Sullivan  ,Claret                    ,89
Sean P. Sullivan  ,Counoise                  ,88
Sean P. Sullivan  ,Dolcetto                  ,88
Sean P. Sullivan  ,G-S-M                     ,89
Sean P. Sullivan  ,Garnacha                  ,90
Sean P. Sullivan  ,Garnacha Blanca           ,89
Sean P. Sullivan  ,GewÃ¼rztraminer           ,87
Sean P. Sullivan  ,Graciano                  ,92
Sean P. Sullivan  ,Grenache                  ,90
Sean P. Sullivan  ,Grenache Blanc            ,88
Sean P. Sullivan  ,Grenache-Carignan         ,91
Sean P. Sullivan  ,Grenache-Syrah            ,93
Sean P. Sullivan  ,GrÃ¼ner Veltliner         ,88
Sean P. Sullivan  ,Lemberger                 ,86
Sean P. Sullivan  ,Madeleine Angevine        ,85
Sean P. Sullivan  ,Malbec                    ,88
Sean P. Sullivan  ,Malbec-Cabernet Sauvignon ,92
Sean P. Sullivan  ,Malbec-Merlot             ,88
Sean P. Sullivan  ,Marsanne                  ,88
Sean P. Sullivan  ,Marsanne-Roussanne        ,89
Sean P. Sullivan  ,Marsanne-Viognier         ,89
Sean P. Sullivan  ,Meritage                  ,89
Sean P. Sullivan  ,Merlot                    ,88
Sean P. Sullivan  ,Merlot-Cabernet Franc     ,89
Sean P. Sullivan  ,Merlot-Cabernet Sauvignon ,84
Sean P. Sullivan  ,Monastrell                ,91
Sean P. Sullivan  ,Moscato                   ,86
Sean P. Sullivan  ,MourvÃ¨dre                ,89
Sean P. Sullivan  ,Muscat                    ,87
Sean P. Sullivan  ,Muscat Blanc              ,81
Sean P. Sullivan  ,Muscat Canelli            ,87
Sean P. Sullivan  ,Nebbiolo                  ,87
Sean P. Sullivan  ,Petit Verdot              ,89
Sean P. Sullivan  ,Petite Sirah              ,88
Sean P. Sullivan  ,Petite Verdot             ,89
Sean P. Sullivan  ,Picpoul                   ,90
Sean P. Sullivan  ,Pinot Blanc               ,88
Sean P. Sullivan  ,Pinot Grigio              ,86
Sean P. Sullivan  ,Pinot Gris                ,86
Sean P. Sullivan  ,Pinot Gris-GewÃ¼rztraminer,90
Sean P. Sullivan  ,Pinot Noir                ,87
Sean P. Sullivan  ,Primitivo                 ,87
Sean P. Sullivan  ,Red Blend                 ,88
Sean P. Sullivan  ,RhÃ´ne-style Red Blend    ,90
Sean P. Sullivan  ,RhÃ´ne-style White Blend  ,88
Sean P. Sullivan  ,Riesling                  ,87
Sean P. Sullivan  ,RosÃ©                     ,87
Sean P. Sullivan  ,Roussanne                 ,88
Sean P. Sullivan  ,Sagrantino                ,87
Sean P. Sullivan  ,Sangiovese                ,87
Sean P. Sullivan  ,Sangiovese Grosso         ,87
Sean P. Sullivan  ,Sangiovese-Cabernet Sauvig,87
Sean P. Sullivan  ,Sauvignon Blanc           ,86
Sean P. Sullivan  ,Sauvignon Blanc-Chenin Bla,87
Sean P. Sullivan  ,Sauvignon Blanc-Semillon  ,88
Sean P. Sullivan  ,Semillon-Sauvignon Blanc  ,89
Sean P. Sullivan  ,Shiraz                    ,86
Sean P. Sullivan  ,Souzao                    ,86
Sean P. Sullivan  ,Sparkling Blend           ,87
Sean P. Sullivan  ,Syrah                     ,90
Sean P. Sullivan  ,Syrah-Cabernet Sauvignon  ,90
Sean P. Sullivan  ,Syrah-Grenache            ,89
Sean P. Sullivan  ,Syrah-MourvÃ¨dre          ,86
Sean P. Sullivan  ,Syrah-Petite Sirah        ,90
Sean P. Sullivan  ,SÃ©millon                 ,87
Sean P. Sullivan  ,Tannat                    ,86
Sean P. Sullivan  ,Tempranillo               ,87
Sean P. Sullivan  ,Touriga Nacional          ,87
Sean P. Sullivan  ,Vermentino                ,87
Sean P. Sullivan  ,Vidal                     ,90
Sean P. Sullivan  ,Vidal Blanc               ,91
Sean P. Sullivan  ,Viognier                  ,87
Sean P. Sullivan  ,Viognier-Roussanne        ,83
Sean P. Sullivan  ,White Blend               ,86
Sean P. Sullivan  ,Zinfandel                 ,88
Sean P. Sullivan  ,Zweigelt                  ,89
Susan Kostrzewa   ,Agiorgitiko               ,87
Susan Kostrzewa   ,Aidani                    ,82
Susan Kostrzewa   ,Assyrtico                 ,88
Susan Kostrzewa   ,Assyrtiko                 ,89
Susan Kostrzewa   ,Athiri                    ,83
Susan Kostrzewa   ,Bordeaux-style Red Blend  ,87
Susan Kostrzewa   ,Cabernet Blend            ,86
Susan Kostrzewa   ,Cabernet Franc            ,84
Susan Kostrzewa   ,Cabernet Merlot           ,86
Susan Kostrzewa   ,Cabernet Sauvignon        ,86
Susan Kostrzewa   ,Cabernet Sauvignon Grenach,87
Susan Kostrzewa   ,Cabernet Sauvignon-Caberne,87
Susan Kostrzewa   ,Cabernet Sauvignon-Merlot ,87
Susan Kostrzewa   ,Cabernet Sauvignon-Syrah  ,88
Susan Kostrzewa   ,Chambourcin               ,83
Susan Kostrzewa   ,Champagne Blend           ,86
Susan Kostrzewa   ,Chardonnay                ,85
Susan Kostrzewa   ,Chenin Blanc              ,86
Susan Kostrzewa   ,Chenin Blanc-Sauvignon Bla,84
Susan Kostrzewa   ,Dafni                     ,85
Susan Kostrzewa   ,Furmint                   ,85
Susan Kostrzewa   ,GewÃ¼rztraminer           ,85
Susan Kostrzewa   ,GewÃ¼rztraminer-Riesling  ,83
Susan Kostrzewa   ,Grenache                  ,84
Susan Kostrzewa   ,Kekfrankos                ,82
Susan Kostrzewa   ,Kotsifali                 ,92
Susan Kostrzewa   ,Malagousia                ,88
Susan Kostrzewa   ,Malagouzia                ,88
Susan Kostrzewa   ,Malagouzia-Chardonnay     ,86
Susan Kostrzewa   ,Malvasia                  ,85
Susan Kostrzewa   ,Mandilaria                ,88
Susan Kostrzewa   ,Mavrodaphne               ,86
Susan Kostrzewa   ,Mavrokalavryta            ,86
Susan Kostrzewa   ,Mavrotragano              ,90
Susan Kostrzewa   ,Mavroudi                  ,87
Susan Kostrzewa   ,Mavrud                    ,85
Susan Kostrzewa   ,Meritage                  ,84
Susan Kostrzewa   ,Merlot                    ,86
Susan Kostrzewa   ,Merlot-Cabernet Sauvignon ,87
Susan Kostrzewa   ,Moschofilero              ,88
Susan Kostrzewa   ,Moschofilero-Chardonnay   ,85
Susan Kostrzewa   ,MourvÃ¨dre                ,84
Susan Kostrzewa   ,Muscat                    ,87
Susan Kostrzewa   ,Muscat Blanc              ,90
Susan Kostrzewa   ,Muscat of Alexandria      ,85
Susan Kostrzewa   ,Muskat Ottonel            ,83
Susan Kostrzewa   ,Nebbiolo                  ,81
Susan Kostrzewa   ,Pinot Grigio              ,84
Susan Kostrzewa   ,Pinot Gris                ,85
Susan Kostrzewa   ,Pinot Noir                ,86
Susan Kostrzewa   ,Pinotage                  ,87
Susan Kostrzewa   ,Plyto                     ,87
Susan Kostrzewa   ,Red Blend                 ,86
Susan Kostrzewa   ,RhÃ´ne-style Red Blend    ,89
Susan Kostrzewa   ,Riesling                  ,85
Susan Kostrzewa   ,Robola                    ,87
Susan Kostrzewa   ,Roditis                   ,86
Susan Kostrzewa   ,Roditis-Moschofilero      ,88
Susan Kostrzewa   ,RosÃ©                     ,86
Susan Kostrzewa   ,Sauvignon                 ,88
Susan Kostrzewa   ,Sauvignon Blanc           ,86
Susan Kostrzewa   ,Sauvignon Blanc-Assyrtiko ,92
Susan Kostrzewa   ,Savatiano                 ,87
Susan Kostrzewa   ,Shiraz                    ,87
Susan Kostrzewa   ,Sideritis                 ,85
Susan Kostrzewa   ,Sparkling Blend           ,86
Susan Kostrzewa   ,Syrah                     ,87
Susan Kostrzewa   ,SÃ©millon                 ,87
Susan Kostrzewa   ,Tannat                    ,88
Susan Kostrzewa   ,Tempranillo               ,84
Susan Kostrzewa   ,Thrapsathiri              ,88
Susan Kostrzewa   ,Tokaji                    ,91
Susan Kostrzewa   ,Traminer                  ,84
Susan Kostrzewa   ,Tsapournakos              ,90
Susan Kostrzewa   ,Vidal Blanc               ,87
Susan Kostrzewa   ,Vignoles                  ,85
Susan Kostrzewa   ,Vilana                    ,86
Susan Kostrzewa   ,Viognier                  ,85
Susan Kostrzewa   ,Vranec                    ,84
Susan Kostrzewa   ,White Blend               ,86
Susan Kostrzewa   ,Xinisteri                 ,89
Susan Kostrzewa   ,Xinomavro                 ,86
Susan Kostrzewa   ,Xynisteri                 ,87
Susan Kostrzewa   ,Zlahtina                  ,84
Virginie Boone    ,Abouriou                  ,85
Virginie Boone    ,Aglianico                 ,85
Virginie Boone    ,AlbariÃ±o                 ,89
Virginie Boone    ,Alicante Bouschet         ,89
Virginie Boone    ,AlvarelhÃ£o               ,85
Virginie Boone    ,Arneis                    ,87
Virginie Boone    ,Barbera                   ,87
Virginie Boone    ,Black Muscat              ,89
Virginie Boone    ,Bordeaux-style Red Blend  ,89
Virginie Boone    ,Cabernet Blend            ,89
Virginie Boone    ,Cabernet Franc            ,88
Virginie Boone    ,Cabernet Franc-Merlot     ,89
Virginie Boone    ,Cabernet Sauvignon        ,89
Virginie Boone    ,Cabernet Sauvignon-Caberne,86
Virginie Boone    ,Cabernet Sauvignon-Merlot ,89
Virginie Boone    ,Cabernet Sauvignon-Sangiov,89
Virginie Boone    ,Cabernet Sauvignon-Syrah  ,89
Virginie Boone    ,Cabernet Sauvignon-Tempran,87
Virginie Boone    ,Carignan                  ,88
Virginie Boone    ,Carignane                 ,88
Virginie Boone    ,CarmenÃ¨re                ,87
Virginie Boone    ,Charbono                  ,88
Virginie Boone    ,Chardonnay                ,89
Virginie Boone    ,Chardonnay-Semillon       ,85
Virginie Boone    ,Chardonnay-Viognier       ,87
Virginie Boone    ,Chenin Blanc              ,88
Virginie Boone    ,Chenin Blanc-Viognier     ,85
Virginie Boone    ,Cinsault                  ,89
Virginie Boone    ,Claret                    ,89
Virginie Boone    ,Colombard                 ,88
Virginie Boone    ,Dolcetto                  ,88
Virginie Boone    ,Fiano                     ,91
Virginie Boone    ,FumÃ© Blanc               ,89
Virginie Boone    ,G-S-M                     ,89
Virginie Boone    ,Garnacha                  ,89
Virginie Boone    ,GewÃ¼rztraminer           ,89
Virginie Boone    ,Graciano                  ,89
Virginie Boone    ,Grenache                  ,89
Virginie Boone    ,Grenache Blanc            ,89
Virginie Boone    ,Grenache Blend            ,88
Virginie Boone    ,Grenache-MourvÃ¨dre       ,87
Virginie Boone    ,Grenache-Syrah            ,90
Virginie Boone    ,GrÃ¼ner Veltliner         ,90
Virginie Boone    ,Lagrein                   ,86
Virginie Boone    ,Malbec                    ,88
Virginie Boone    ,Malvasia Bianca           ,87
Virginie Boone    ,Marsanne                  ,87
Virginie Boone    ,Marsanne-Roussanne        ,85
Virginie Boone    ,Meritage                  ,87
Virginie Boone    ,Merlot                    ,88
Virginie Boone    ,Merlot-Cabernet           ,92
Virginie Boone    ,Merlot-Cabernet Franc     ,89
Virginie Boone    ,Merlot-Cabernet Sauvignon ,87
Virginie Boone    ,Mission                   ,90
Virginie Boone    ,Monastrell                ,91
Virginie Boone    ,Montepulciano             ,88
Virginie Boone    ,Moscato                   ,87
Virginie Boone    ,Moscato Giallo            ,94
Virginie Boone    ,MourvÃ¨dre                ,90
Virginie Boone    ,Muscadine                 ,85
Virginie Boone    ,Muscat                    ,89
Virginie Boone    ,Muscat Blanc              ,87
Virginie Boone    ,Muscat Canelli            ,88
Virginie Boone    ,Nebbiolo                  ,88
Virginie Boone    ,Nero d'Avola              ,91
Virginie Boone    ,Petit Verdot              ,88
Virginie Boone    ,Petite Sirah              ,88
Virginie Boone    ,Petite Verdot             ,85
Virginie Boone    ,Picpoul                   ,90
Virginie Boone    ,Pinot Blanc               ,87
Virginie Boone    ,Pinot Blanc-Viognier      ,87
Virginie Boone    ,Pinot Grigio              ,86
Virginie Boone    ,Pinot Gris                ,88
Virginie Boone    ,Pinot Meunier             ,87
Virginie Boone    ,Pinot Noir                ,90
Virginie Boone    ,Pinot-Chardonnay          ,89
Virginie Boone    ,Pinotage                  ,87
Virginie Boone    ,Port                      ,88
Virginie Boone    ,Primitivo                 ,86
Virginie Boone    ,Red Blend                 ,88
Virginie Boone    ,RhÃ´ne-style Red Blend    ,89
Virginie Boone    ,RhÃ´ne-style White Blend  ,88
Virginie Boone    ,Ribolla Gialla            ,86
Virginie Boone    ,Riesling                  ,88
Virginie Boone    ,RosÃ©                     ,88
Virginie Boone    ,Roussanne                 ,88
Virginie Boone    ,Roussanne-Viognier        ,90
Virginie Boone    ,Sagrantino                ,87
Virginie Boone    ,Sangiovese                ,87
Virginie Boone    ,Sangiovese Cabernet       ,87
Virginie Boone    ,Sangiovese-Syrah          ,87
Virginie Boone    ,Sauvignon Blanc           ,88
Virginie Boone    ,Sauvignon Blanc-Semillon  ,87
Virginie Boone    ,Sauvignon Gris            ,90
Virginie Boone    ,Scheurebe                 ,91
Virginie Boone    ,Semillon-Sauvignon Blanc  ,90
Virginie Boone    ,Shiraz                    ,92
Virginie Boone    ,Sparkling Blend           ,90
Virginie Boone    ,Syrah                     ,89
Virginie Boone    ,Syrah-Cabernet Sauvignon  ,85
Virginie Boone    ,Syrah-Grenache            ,90
Virginie Boone    ,Syrah-Grenache-Viognier   ,90
Virginie Boone    ,Syrah-Petite Sirah        ,89
Virginie Boone    ,Syrah-Tempranillo         ,90
Virginie Boone    ,Syrah-Viognier            ,92
Virginie Boone    ,SÃ©millon                 ,87
Virginie Boone    ,Tannat                    ,87
Virginie Boone    ,Tempranillo               ,87
Virginie Boone    ,Tempranillo Blend         ,86
Virginie Boone    ,Tempranillo-Cabernet Sauvi,93
Virginie Boone    ,Teroldego                 ,87
Virginie Boone    ,Tocai Friulano            ,86
Virginie Boone    ,Touriga Nacional          ,87
Virginie Boone    ,Trousseau Gris            ,93
Virginie Boone    ,ValdiguiÃ©                ,88
Virginie Boone    ,Verdejo                   ,85
Virginie Boone    ,Verdelho                  ,86
Virginie Boone    ,Vermentino                ,87
Virginie Boone    ,Viognier                  ,88
Virginie Boone    ,White Blend               ,88
Virginie Boone    ,Zinfandel                 ,88
